iata,name,city,country,latitude,longitude,timezone
OLA,Ørland Airport,Orland,Norway,63.6988983154297,9.60400009155273,Europe/Oslo
OLB,Olbia Costa Smeralda Airport,Olbia,Italy,40.898953,9.518457,Europe/Rome
OLC,Senadora Eunice Micheles Airport,Sao Paulo De Olivenca,Brazil,-3.46907,-68.921056,America/Manaus
OLD,Dewitt Field - Old Town Municipal Airport,Old Town,United States,44.952801,-68.674301,America/New_York
OLE,Cattaraugus County-Olean Airport,Olean,United States,42.241199,-78.371399,America/New_York
OLF,L M Clayton Airport,Wolf Point,United States,48.094501,-105.574997,America/Denver
OLI,Rif Airport,Rif,Iceland,64.9114,-23.823099,Atlantic/Reykjavik
OLJ,North West Santo Airport,Olpoi,Vanuatu,-14.8816995621,166.557998657,Pacific/Efate
OLK,Aeródromo de Fuerte,Fuerte Olimpo,Paraguay,-21.045724,-57.882935,America/Asuncion
OLM,Olympia Regional Airport,Olympia,United States,46.969399,-122.903,America/Los_Angeles
OLN,Lago Musters Airport,Sarmiento,Argentina,-45.5752,-69.077,America/Argentina/Catamarca
OLO,Olomouc Airport,Olomouc,Czech Republic,49.587712,17.209275,Europe/Prague
OLP,Olympic Dam Airport,Olympic Dam,Australia,-30.483861,136.876699,Australia/Adelaide
OLS,Nogales International Airport,Nogales,United States,31.4177,-110.848,America/Phoenix
OLU,Columbus Municipal Airport,Columbus,United States,41.448145,-97.340174,America/Chicago
OLV,Olive Branch Airport,Olive Branch,United States,34.9786987305,-89.7869033813,America/Chicago
OLY,Olney Noble Airport,Olney-Noble,United States,38.721802,-88.176399,America/Chicago
OLZ,Olyokminsk Airport,Olyokminsk,Russia,60.401833,120.476094,Asia/Yakutsk
OMA,Eppley Airfield,Omaha,United States,41.3032,-95.894096,America/Chicago
OMB,Omboue Hospital Airport,Omboue,Gabon,-1.57473,9.26269,Africa/Libreville
OMC,Ormoc Airport,Ormoc City,Philippines,11.057715,124.565622,Asia/Manila
OMD,Oranjemund Airport,Oranjemund,Namibia,-28.5847,16.446699,Africa/Johannesburg
OME,Nome Airport,Nome,United States,64.5121994018555,-165.445007324219,America/Nome
OMF,King Hussein Air College,Mafraq,Jordan,32.3564,36.259201,Asia/Amman
OMG,Omega Airport,Omega,Namibia,-18.0303,22.189699,Africa/Windhoek
OMH,Urmia Airport,Urmia,Iran,37.6680984497,45.0686988831,Asia/Tehran
OMI,Omidiyeh Airport,Omidiyeh,Iran,30.835199,49.534901,Asia/Tehran
OMK,Omak Airport,Omak,United States,48.4644012451,-119.517997742,America/Los_Angeles
OMM,Marmul Airport,Marmul,Oman,18.138999,55.179005,Asia/Muscat
OMN,Zomin Airport,Lyaylyakul,Uzbekistan,40.01402,68.41103,Asia/Tashkent
OMO,Mostar International Airport,Mostar,Bosnia and Herzegovina,43.282489,17.846101,Europe/Sarajevo
OMR,Oradea International Airport,Oradea,Romania,47.025299,21.9025,Europe/Bucharest
OMS,Omsk Central Airport,Omsk,Russia,54.963124,73.312418,Asia/Omsk
ONA,Winona Municipal Airport Max Conrad Field,Winona,United States,44.077202,-91.708298,America/Chicago
OND,Ondangwa Airport,Ondangwa,Namibia,-17.878201,15.9526,Africa/Windhoek
ONI,Moanamani Airport,Moanamani-Papua Island,Indonesia,-4.00659,136.037704,Asia/Jayapura
ONJ,Odate Noshiro Airport,Odate,Japan,40.191898,140.371002,Asia/Tokyo
ONK,Olenyok Airport,Olenyok,Russia,68.514999,112.480003,Asia/Yakutsk
ONL,O'Neill Municipal Airport–John L Baker Field,O'Neill,United States,42.468916,-98.686989,America/Chicago
ONM,Socorro Municipal Airport,Socorro,United States,34.022499,-106.903,America/Denver
ONO,Ontario Municipal Airport,Ontario,United States,44.0198,-117.013289,America/Boise
ONP,Newport Municipal Airport,Newport,United States,44.580399,-124.057999,America/Los_Angeles
ONQ,Zonguldak Çaycuma Airport,Zonguldak,Turkey,41.506401,32.0886,Europe/Istanbul
ONT,Ontario International Airport,Ontario,United States,34.056,-117.600998,America/Los_Angeles
ONU,Ono-i-Lau Airport,Ono-I-Lau,Fiji,-20.6589,-178.7411,Pacific/Fiji
ONX,Enrique Adolfo Jimenez Airport,Colon,Panama,9.35664,-79.867401,America/Panama
ONY,Olney Municipal Airport,Olney,United States,33.350899,-98.819199,America/Chicago
OOA,Oskaloosa Municipal Airport,Oskaloosa,United States,41.2262,-92.493896,America/Chicago
OOD,Koodaideri Mine Airport,Newman,Australia,-22.504291,119.07683,Australia/Perth
OOK,Toksook Bay Airport,Toksook Bay,United States,60.541401,-165.087006,America/Nome
